"en","zh","ja"
"Abandoned_alchemy_lab","废弃炼金实验室","化学実験室跡"
"Accelerating_shot","加速魔弹","加速ショット"
"acceleratium","加速基质","アクセラチアム"
"Accelerative_Homing","加速追踪","加速ホーミング"
"acid","酸液","酸"
"Acid_ball","酸液球","酸のボール"
"Acid_cloud","酸云","酸の雲"
"Acid_trail","酸液轨迹","酸の痕跡"
"Add_expiration_trigger","追加失效触发","消滅トリガー追加"
"Add_mana","额外法力","マナを追加する"
"Add_timer","追加计时","タイマー追加"
"Add_trigger","追加触发","トリガー追加"
"Aiming_Arc","瞄准弧度","照準アーク"
"air","空气","空気"
"Äitilimanuljaska","阿提力马努利亚斯卡","アイティリマヌヤスカ"
"Äitinuljaska","埃提奴利亚斯加","アイティヌヤスカ"
"alchemic_precursor","炼金溶液","錬金術の先駆者"
"Alchemist's_Note","炼金术士的笔记","錬金術師のメモ"
"Alchemist's_Notebook","炼金术士的笔记本","錬金術師のノート"
"alcohol_mist","酒雾","アルコールミスト"
"Alcohol_shot","美酒一杯","アルコールショット"
"Alkemisti","阿尔科米斯提","アルケミスティ"
"Alkemistin_Varjo","阿尔科米斯汀瓦吉奥","アルケミスティ・ヴァリヨ"
"All-seeing_eye","全知之眼","お見通し"
"Alpha","初始","アルファ"
"aluminium","铝","アルミニウム"
"Always_Cast","始终施放","常時詠唱"
"Always_Cast_(One-off)","始终施放（一次性）","常時詠唱（1回限り）"
"Ambiguous_meat","暧昧肉块","曖昧な肉"
"ambrosia","灵丹妙药","アンブロシア"
"Amppari","安帕里","アンッパリ"
"Amulet_of_Yendor","雍渡垂饰","イエンドルの魔よけ"
"Ancient_laboratory","古代实验室","古代研究所"
"Angry_ghost","愤怒的幽灵","怒れるゴースト"
"Ankka","安卡","アンッカ"
"Anti-gravity","反重力","反重力"
"Antidote","解毒剂","解毒剤"
"Arpaluu","阿帕鲁","アルパルー"
"Arrow","箭矢","矢"
"Attract_Gold","吸金大法","ゴールド引き寄せ"
"Auringonmuna","奥林贡木纳","アウリンゴンムナ"
"Auringonsiemen","奥林贡西门","アウリンゴンシエメン"
"Aurinkokivi","奥林戈基维","アウリンコキヴィ"
"Auto-Aim","自动瞄准","自動照準"
"Avoiding_arc","规避弧度","回避アーク"
"Ball_Lightning","球状闪电","球電光"
"barren_soil","贫瘠泥土","不毛の土"
"Bee","蜜蜂","ハチ"
"Berserk","狂暴","バーサーク"
"Berserk","狂暴","バーサーク"
"berserkium","狂暴基质","バーサーキアム"
"Better_Vision","更好视野","視力改善"
"Big_magic_guard","大型魔法护卫","大魔法防御"
"Big_Potions","大号魔药","大きなポーション"
"Black_hole","黑洞","ブラックホール"
"Black_Hole_with_Death_Trigger","带有死亡触发的黑洞","デストリガー付きのブラックホール"
"Blindness","目盲","盲目"
"blood","血液","血"
"Blood_cloud","血云","血の雲"
"Blood_magic","血液魔法","血の魔法"
"blood_mist","血雾","血のミスト"
"Blood_Tentacle","血之触手","血の触覚"
"Blood_to_acid","溶血为酸","血から酸へ"
"Blood_to_Power","血液变力量","血からパワーへ"
"Blood_trail","血液轨迹","血の痕跡"
"Bloodlust","嗜血","血の枯渇"
"Bloody_gold_nugget","染血金块","ブラッディー金塊"
"blue_fungus","蓝色真菌","青いキノコ"
"Blue_Glimmer","蓝色闪光","青の光"
"blue_sand","蓝砂","青い砂"
"bomb","炸弹","爆弾"
"Bomb_cart","炸弹矿车","爆弾カート"
"Bombs_Materialized","炸弹物质化","爆弾の具体化"
"bone","骨头","骨"
"bone_dust","骨灰","骨粉"
"bone_wall","骨墙","骨の壁"
"Book_of_Balance","均衡之书","バランスの本"
"Book_of_Celestial_Bodies","天体之书","天体の本"
"Book_of_Guidance","指引之书","導きの書"
"Book_of_the_Jewel","珠宝之书","宝石の本"
"Book_of_the_Key","钥匙之书","鍵の本"
"Boomerang","回旋镖","ブーメラン"
"Boomerang_Spells","回旋的法术","ブーメラン呪文"
"Bounce","弹跳","バウンド"
"Bouncing_burst","弹跳爆发","バウンドバースト"
"Bouncing_Spells","弹跳的法术","バウンド呪文"
"brass","黄铜","真ちゅう"
"Breathless","屏息静气","無呼吸"
"brick_wall","砖墙","レンガの壁"
"brickwork","砖块","レンガ"
"brine","盐水","海水"
"Brittle_brickwork","脆弱砖工","もろいレンガ"
"brittle_glass","易碎玻璃","もろいガラス"
"Brittle_rock","脆弱岩石","もろい岩"
"Broken_spell","损坏的法术","壊れた呪文"
"Broken_wand","坏掉的魔杖","壊れた杖"
"Bubble_spark","泡泡火花","バブルスパーク"
"Bubble_spark_with_trigger","带有触发的泡泡火花","トリガー付きのバブルスパーク"
"Bubbly_bounce","泡泡弹跳","バブルバウンド"
"Burned_meat","烧焦的肉","焦げた肉"
"Burning_Poison","燃烧之毒","燃焼ポイズン"
"burning_powder","燃烧粉末","燃焼粉末"
"Burning_trail","燃烧轨迹","燃焼の痕跡"
"Burst_of_air","强气流","空気破裂"
"Celestial_Ruby","天之红宝石","幽体ルビー"
"Cement","水泥","セメント"
"cement","水泥","セメント"
"Chain_bolt","连环魔弹","チェーンボルト"
"Chain_Spell","连锁法术","連続呪文"
"Chainsaw","链锯","チェーンソー"
"Chaos_die","混沌骰子","カオスのサイコロ"
"Chaos_larpa","混沌拉帕","カオス幼生"
"Chaos_magic","混沌魔法","カオスの魔法"
"Chaotic_path","混乱之路","カオス軌道"
"chaotic_polymorphine","混乱变形魔药","カオスな多形性型"
"Chaotic_transmutation","混乱转化","カオス変異"
"Charm","迷惑","チャーム"
"Charm_on_toxic_sludge","迷惑性毒性淤泥","毒ヘドロ影響下狙い打ちチャーム"
"cheese","奶酪","チーズ"
"Chilly_egg","冰凉的蛋","冷たい卵"
"chilly_water","冰水","冷たい水"
"Chunk_of_soil","一把泥土","土のかたまり"
"Circle_of_acid","酸液之环","酸の輪"
"Circle_of_buoyancy","浮力之环","浮揚性の輪"
"Circle_of_displacement","位移之环","転移の輪"
"Circle_of_fervour","激情之环","熱情の輪"
"Circle_of_fire","烈火之环","火の輪"
"Circle_of_oil","油液之环","オイルの輪"
"Circle_of_persuasion","说服之环","信念の輪"
"Circle_of_seeing","预示之环","視線の輪"
"Circle_of_shielding","遮蔽之环","シールドの輪"
"Circle_of_stillness","静止之环","沈黙の輪"
"Circle_of_thunder","雷霆之环","雷の輪"
"Circle_of_transmogrification","变形之环","奇変形の輪"
"Circle_of_unstable_metamorphosis","不稳变形之环","不安定な変形の輪"
"Circle_of_vigour","活力之环","気力の輪"
"Circle_of_water","清水之环","水の輪"
"Circle_shot","圆环魔弹","サークルショット"
"Close_Call","千钧一发","危機一髪"
"Cloth","布料","布"
"cloud","云","雲"
"Cloudscape","云图","雲景"
"coal","煤","石炭"
"Coal_Pits","煤矿矿坑","炭坑"
"coal_vein","煤矿矿脉","石炭鉱脈"
"Cocktail","鸡尾酒","カクテル"
"cocoon","茧","繭"
"collapsed_concrete","坍塌的混凝土","崩壊したコンクリート"
"collapsed_mines","坍塌矿场","崩壊した鉱山"
"Commander_bolt","指挥魔弹","コマンダーボルト"
"Concentrated_Explosion","聚爆","集中爆破"
"Concentrated_light","汇聚之光","集中ライト"
"Concentrated_light_bounce","汇聚之光弹跳","集中ライトバウンド"
"concentrated_mana","汇聚法力","集中マナ"
"Concentrated_Spells","汇聚的法术","集中呪文"
"concrete","混凝土","コンクリート"
"Contact_Damage","接触伤害","接触ダメージ"
"Controllable_Knockback","可控击退。","操作可能ノックバック"
"Cooked_meat","熟肉","調理された肉"
"copper","铜","銅"
"Copy_field","复制领域","フィールド複製"
"Copy_random_spell","复制随机法术","ランダム呪文複製"
"Copy_random_spell_thrice","三次复制随机法术","ランダム呪文複製三倍"
"Copy_spell","复制法术","呪文複製"
"Copy_three_random_spells","复制三个随机法术","ランダム三呪文複製"
"Copy_trail","复制轨迹","痕跡複製"
"Coral_chest","珊瑚宝箱","サンゴの宝箱"
"Cordyceps","虫草","冬虫夏草"
"corrupted_rock","崩溃的岩石","壊れた岩"
"Create_potion","创造魔药","ポーションを作り出す"
"creepy_liquid","恐怖液体","気味の悪い液体"
"Critical_Hit_+","暴击率_+","クリティカルヒット+"
"Critical_on_bloody_enemies","染血敌人暴击","血まみれの敵へのクリティカル"
"Critical_on_burning","燃烧时暴击","燃焼時のクリティカル"
"Critical_on_oiled_enemies","油污敌人暴击","オイルまみれの敵へのクリティカル"
"Critical_on_wet_(water)_enemies","潮湿（浸水）敌人暴击","濡れている(水の)敵へのクリティカル"
"Critical_Plus","暴击增强","クリティカルプラス"
"Cruel_Orb","残忍魔球","残酷なオーブ"
"crystal","晶体","クリスタル"
"Crystal_Chamber","晶体密室","クリスタルチャンバー"
"Crystal_key","晶体钥匙","クリスタルの鍵"
"Crystal_of_Balance","均衡晶体","バランスのクリスタル"
"Cunning_power","巧妙之力","ずる賢いパワー"
"Curse_of_Greed","贪婪的诅咒","貪欲の呪い"
"Cursed_meat","诅咒肉块","呪われた肉"
"Cursed_Power","诅咒之力","呪われたパワー"
"Cursed_rock","诅咒岩石","呪われた岩"
"Cursed_sphere","诅咒之球","呪われたスフィア"
"Daily_Practice_Run","每日练习游戏","デイリー耐久ラン"
"Daily_Run","每日游戏","デイリーラン"
"Damage_field","伤害领域","ダメージフィールド"
"Damage_Plus","伤害增强","ダメージプラス"
"Damaging_Aura","伤害光环","ダメージオーラ"
"damp_rock","潮湿岩石","湿った岩"
"damp_wood","潮湿木材","湿った木材"
"Dark_chest","黑暗宝箱","黒宝箱"
"Dark_rock","黑暗岩石","闇の岩"
"Dark_wand","黑暗魔杖","闇の杖"
"Deadly_Environment","致命环境","凶悪な環境"
"Death_cross","死亡十字","死の十字架"
"Decelerating_shot","减速魔弹","減速ショット"
"Decoy","诱饵","囮"
"Decoy_with_trigger","带有触发的诱饵","トリガー付きの囮"
"Delayed_spellcast","延迟施法","遅延呪文詠唱"
"Delta","德尔塔","デルタ"
"dense_rock","致密岩石","固い岩"
"dense_rock","致密岩石","固い岩"
"dense_steel","高密度钢","固い鋼"
"Desert","沙漠","砂漠"
"Destruction","破坏","破壊"
"Destruction_Enhancement","破坏增强","増強破壊"
"Destructive_Magic","破坏性魔法","破壊的魔法"
"diamond","钻石","ダイヤモンド"
"Diamond_brickwork","钻石砖块","ダイヤモンドのレンガ"
"Digging_blast","挖掘爆破","発掘ブラスト"
"Digging_bolt","挖掘魔弹","発掘ボルト"
"Dirt","尘土","泥"
"dirt","尘土","泥"
"Disc_projectile","碟状投射物","円盤放射物"
"Dissolve_Powders","粉末消融","粉末溶解"
"Divide_by_10","一分为十","10分割"
"Divide_by_2","一分为二","2分割"
"Divide_by_3","一分为三","3分割"
"Divide_by_4","一分为四","4分割"
"Dormant_crystal","休眠晶体","休眠クリスタル"
"Dormant_crystal_detonation","休眠晶体引爆","休眠クリスタル爆発"
"Dormant_crystal_with_trigger","带有触发的休眠晶体","トリガー付きの休眠クリスタル"
"Double_Cast","二重施放","ダブル詠唱"
"Double_Health,_No_Regeneration","双倍生命值，没有再生","ダブルHP、再生無し"
"Double_scatter_spell","二重散射法术","2倍スキャター呪文"
"Double_spell","二重法术","2倍呪文"
"Downwards_bolt_bundle","下方向集束魔弹","下方ボルトバンドル"
"Downwards_larpa","下方向拉帕","下方幼生"
"Dragoncave","龙窟","ドラゴンの洞窟"
"Drapes","窗帘","カーテン"
"draught_of_midas","点金之水","ミダスの設計図"
"Draw_blood","抽血","流血"
"Drilling_shot","穿凿魔弹","ドリルショット"
"Drone","无人机","ドローン"
"Dropper_bolt","坠落弹","ドロッパーボルト"
"Duck","鸭子","アヒル"
"Duplicate","复制","重複"
"Duplicated_shots","复制魔弹","重複ショット"
"Dynamite","炸药","ダイナマイト"
"Earthquake","地震","地震"
"Earthquake_shot","地震魔弹","地震ショット"
"Eat_Your_Vegetables","素食主义","野菜を食べよう"
"Egg","蛋","卵"
"Eldari","埃尔达利","エルダリ"
"Eldritch_portal","怪异传送门","エルドリッチポータル"
"Electric_Arc","电弧","電撃アーク"
"Electric_charge","电荷放射","電撃チャージ"
"electric_spark","电火花","電撃スパーク"
"Electric_Torch","电子火把","電撃たいまつ"
"Electricity","雷电","電撃"
"Electricity_Immunity","雷电免疫","電撃に対する免疫"
"Elvytyskristalli","艾乐夫提斯克里斯塔利","エルヴィティスクリスターリ"
"Enemies","敌人","敵"
"Enemy_Radar","敌人雷达","敵レーダー"
"Energy_orb","能量球","エネルギーオーブ"
"Energy_orb_with_a_timer","带有定时的能量球","タイマー付きのオーブ"
"Energy_orb_with_a_trigger","带有触发的能量球","トリガー付きのオーブ"
"Energy_shield","能量盾","エネルギーシールド"
"Energy_shield_sector","能量盾部分","エネルギーシールドセクター"
"Energy_sphere","能量球体","エネルギー球体"
"Energy_sphere_with_timer","带有定时的能量球体","タイマー付きのエネルギー球体"
"Enjoy_your_riches!","享用你的财富吧！","財宝を楽しもう！"
"Epäalkemisti","艾帕阿尔科米斯提","エパアルケミスティ"
"eroding_rock","侵蚀岩石","浸食岩"
"Essence_Eater","精髓吞噬者","エッセンスイーター"
"Essence_of_Air","气之精髓","空気のエッセンス"
"Essence_of_Earth","地之精髓","大地のエッセンス"
"Essence_of_Fire","火之精髓","火のエッセンス"
"Essence_of_Spirits","酒之精髓","アルコールのエッセンス"
"Essence_of_Water","水之精髓","水のエッセンス"
"Essence_to_Power","精华变力量","エッセンスからエネルギーへ"
"Eternal_Wealth","永恒财富","永遠の富"
"Ethereal_meat","虚无的肉","幽体肉"
"Eväkäs","伊瓦卡斯","エヴァカス"
"evergreen_seed","常绿种子","常緑樹の種"
"excrement","粪便","排せつ物"
"Expanding_Sphere","扩张之球","拡大球体"
"Experimental_Wand","实验性魔杖","実験用の杖"
"Experimental_Wand","实验性魔杖","実験用の杖"
"Exploding_Corpses","爆尸","爆発死体"
"Exploding_Gold","爆炸的黄金","爆破ゴールド"
"Explosion","爆炸","爆破"
"Explosion_Immunity","爆炸免疫","爆破に対する免疫"
"Explosion_of_brimstone","火焰爆炸","業火爆発"
"Explosion_of_poison","毒素爆炸","毒の爆発"
"Explosion_of_spirits","烈酒爆炸","魂の爆発"
"Explosion_of_thunder","雷霆爆炸","雷爆発"
"Explosion_on_drunk_enemies","醉酒敌人爆炸","泥酔影響下狙い打ち爆破"
"Explosion_on_slimy_enemies","粘液敌人爆炸","スライミー影響下狙い打ち爆破"
